Ozone,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,Sulphur dioxide
40,3,16,21,3
62,2,6,8,1
44,3,11,16,2
17,8,34,45,3
46,2,15,18,3
60,2,6,8,2
45,3,15,19,4
58,1,8,9,1
50,1,7,8,4
33,3,18,22,4
30,3,29,34,4
21,10,32,48,7
26,2,25,29,3
55,1,11,13,2
39,3,19,23,3
35,5,29,36,3
60,0,7,8,1
63,1,8,10,1
57,0,13,14,2
50,1,12,13,8
51,0,12,13,5
65,0,7,7,5
51,0,9,10,6
40,1,11,12,4
48,2,12,14,4
48,1,9,10,3
42,0,9,9,3
54,0,7,7,2
42,2,11,14,1
61,1,5,7,3
36,2,13,16,2
23,6,21,29,3
55,1,8,9,1
54,2,9,11,6
28,5,18,25,6
32,4,17,23,8
65,0,5,5,3
47,4,8,15,1
16,10,22,38,3
36,4,16,21,2
19,18,30,57,2
21,9,39,52,5
32,8,24,36,3
41,1,16,18,1
53,1,8,10,2
73,0,3,3,1
76,0,2,3,1
80,2,4,7,1
74,3,5,9,1
62,2,12,15,5
51,2,21,24,3
60,1,16,18,1
56,1,12,13,1
91,0,7,7,0
48,4,13,19,2
55,2,16,19,7
64,2,10,13,1
40,3,28,33,3
32,4,21,27,3
41,4,17,23,2
54,1,9,11,2
67,1,6,8,2
61,2,10,13,4
87,0,3,3,0
81,0,3,3,0
78,1,2,3,0
78,0,5,6,1
86,0,10,11,3
54,1,8,9,1
66,0,7,8,0
52,1,9,11,0
48,0,9,9,1
39,1,15,17,2
43,1,12,14,1
48,2,12,15,4
54,1,9,11,1
52,1,12,14,1
64,1,6,7,1
64,1,5,6,1
56,1,6,7,1
42,2,13,16,2
49,6,18,28,6
34,2,11,15,1
36,4,12,18,2
54,1,6,8,2
64,1,4,5,1
52,2,7,9,1
56,1,9,12,3
77,1,11,13,4
50,2,19,22,2
54,1,5,7,2
59,1,4,5,1
50,1,6,8,3
34,1,7,9,2
24,1,8,10,1
54,2,7,10,5
65,2,9,12,4
84,2,12,15,7
95,1,9,11,3
104,1,13,15,3
48,2,13,16,2
47,2,7,10,1
52,2,5,8,1
44,2,8,10,2
47,1,6,8,2
45,1,5,7,2
41,2,9,12,2
66,2,14,17,4
55,1,8,10,2
36,1,8,10,1
34,2,10,14,1
33,3,23,27,3
57,1,8,10,1
53,1,10,12,1
22,10,28,44,2
6,49,50,124,3
2,68,50,154,5
34,2,21,23,2
26,2,24,28,2
37,1,13,15,2
48,0,9,9,1
16,16,29,54,3
15,22,32,66,3
45,1,14,16,2
17,6,30,39,2
19,8,32,44,3
47,1,10,11,1
57,1,4,5,1
27,4,23,29,3
18,1,16,18,2
27,1,18,20,3
34,2,14,16,3
33,1,15,16,2
38,2,19,22,1
33,1,15,17,1
47,1,10,10,2
35,1,14,15,3
39,1,16,17,2
29,1,21,23,2
41,1,10,12,1
51,1,9,10,1
59,0,4,5,1
46,0,10,11,1
45,1,9,10,0
54,1,5,7,2
42,2,15,18,2
18,9,28,42,12
6,14,35,57,3
7,6,29,39,6
8,20,32,62,3
6,15,38,61,4
4,5,40,48,5
4,7,37,48,4
6,18,42,69,3
12,2,42,44,2
33,1,14,15,0
54,0,3,3,0
55,0,3,3,0
30,2,18,21,3
21,6,37,46,5
8,8,50,63,10
18,3,35,40,11
33,2,19,22,6
52,1,7,9,2
55,1,8,9,1
44,2,13,17,3
39,1,16,18,2
26,4,20,26,3
19,4,28,33,3
31,2,15,18,1
25,2,23,26,3
5,21,39,71,5
27,5,21,28,2
51,2,5,7,1
46,2,10,13,1
34,5,16,23,1
43,1,8,9,1
27,7,24,36,2
3,44,46,113,5
4,44,39,106,4
2,93,45,187,5
2,41,51,114,13
2,25,49,87,13
16,5,34,42,7
21,2,24,28,4
46,1,17,19,2
52,1,13,14,1
48,1,21,23,1
50,2,17,19,1
40,1,18,20,1
13,5,33,41,4
6,14,43,64,6
18,14,41,62,5
15,5,32,39,3
3,36,49,104,4
10,12,39,57,4
42,2,19,22,2
45,2,15,18,1
42,2,23,26,1
60,2,10,13,0
51,2,16,19,1
43,2,8,11,1
18,15,29,52,4
26,3,26,30,4
45,1,8,9,1
52,1,9,11,1
30,16,25,50,4
12,38,34,92,3
4,27,52,92,7
27,18,28,56,3
22,6,26,35,3
19,4,29,35,4
16,4,38,44,6
5,10,43,58,4
30,2,25,28,4
44,2,18,20,3
51,2,13,16,8
57,1,9,11,1
48,2,14,17,8
41,3,21,25,3
34,2,22,25,1
44,2,17,19,1
64,1,4,6,0
58,1,7,9,1
64,1,5,7,1
55,1,9,11,1
31,16,31,54,3
29,5,39,46,5
54,1,19,20,2
32,2,30,33,1
50,1,16,18,1
55,1,10,11,0
55,0,9,9,0
60,2,10,12,1
59,2,12,14,5
42,4,19,26,2
30,7,30,41,5
59,1,14,16,2
76,2,3,5,0
73,1,2,4,0
58,2,9,12,1
59,2,14,16,2
42,2,24,27,1
11,8,39,51,2
48,1,17,19,1
27,2,21,25,1
71,1,5,6,0
64,1,10,11,0
34,3,31,36,4
65,1,15,17,1
50,3,17,21,4
55,1,15,17,3
56,1,11,12,2
55,1,9,10,1
48,2,19,21,4
66,1,10,12,1
70,1,7,9,1
54,2,14,17,1
64,1,10,12,1
72,1,5,7,1
69,1,7,8,4
61,1,9,10,2
72,1,6,8,3
75,1,5,6,1
54,5,12,20,5
62,1,7,8,0
43,1,15,17,1
64,1,5,6,1
72,1,6,7,1
83,1,3,5,0
74,1,4,6,0
79,1,10,12,2
58,1,17,19,2
43,3,24,28,1
65,1,13,15,1
63,1,11,13,4
52,2,19,22,4
74,1,7,8,1
66,1,8,9,0
65,1,10,11,6
51,2,12,15,1
54,2,10,13,3
52,3,12,16,2
42,5,13,20,5
52,3,9,14,1
59,3,8,13,1
67,3,9,14,2
67,2,8,12,1
66,2,7,10,1
63,3,12,16,3
28,2,8,10,2
27,1,5,8,1
62,2,7,9,1
52,3,10,15,2
62,2,7,10,2
56,2,9,13,1
64,2,4,7,0
66,2,6,9,3
58,2,10,13,2
58,3,12,17,3
50,2,13,17,2
64,2,6,9,1
42,2,10,13,2
48,3,13,18,2
55,2,5,9,1
40,3,13,18,1
50,3,14,18,5
63,3,10,15,2
79,3,12,16,5
49,2,12,16,1
48,1,8,10,1
60,1,4,6,1
50,2,7,10,2
62,3,18,22,3
67,2,12,15,3
50,2,10,13,3
43,2,8,12,2
60,2,7,10,1
91,2,6,9,3
86,2,11,13,3
118,2,17,20,6
82,1,9,11,2
50,2,10,13,1
38,2,12,15,1
48,1,6,8,1
44,2,4,6,1
60,2,7,10,1
77,3,11,15,3
97,2,11,15,3
101,2,11,14,3
76,2,9,12,2
60,2,6,9,0
48,1,7,9,1
44,1,10,12,1
40,2,7,10,0
42,1,6,8,1
46,1,7,9,1
43,1,7,9,1
32,2,7,10,3
43,1,4,6,2
44,2,8,11,2
67,2,11,15,2
45,2,7,10,0
52,2,7,10,1
54,2,9,12,7
46,2,5,7,1
39,2,7,9,1
97,1,3,4,2
77,1,8,10,4
89,1,4,6,2
95,1,4,6,1
104,1,4,6,2
100,1,3,5,1
86,1,5,7,2
87,1,5,6,3
76,2,9,12,5
80,1,13,14,4
87,1,9,11,3
105,1,3,4,2
87,1,4,5,1
77,2,9,12,2
66,3,18,22,3
82,2,7,10,2
76,1,6,8,3
78,2,9,12,3
58,2,14,17,4
63,2,8,11,4
88,1,5,7,3
83,2,7,10,4
82,1,9,10,3
71,1,10,12,3
66,2,13,15,3
102,1,6,7,2
69,1,10,11,2
85,1,9,11,1
41,3,24,28,2
68,2,10,13,4
74,2,9,13,5
81,1,5,6,2
89,0,3,4,3
100,1,4,5,6
80,0,4,4,0
74,3,9,13,3
70,2,9,12,4
93,3,26,31,11
78,1,13,15,6
71,2,11,13,2
91,1,5,7,0
69,2,15,18,2
76,1,11,12,3
70,4,7,13,0
70,4,7,13,0
67,3,11,15,3
28,5,16,24,2
28,5,10,18,2
32,8,16,29,2
52,2,10,14,3
46,2,15,18,0
50,2,9,12,2
43,3,13,17,2
25,5,17,24,1
27,3,19,24,1
22,2,24,27,0
23,2,16,18,0
16,5,22,30,2
4,10,36,51,3
22,7,25,35,3
32,5,20,27,0
34,2,18,21,0
63,1,8,10,3
63,3,6,10,2
70,0,6,7,2
73,1,6,6,0
78,1,7,8,1
79,1,5,6,1
66,1,7,8,2
49,2,9,12,1
81,2,6,10,0
51,3,16,21,1
27,8,22,34,4
